Year,Cololabis saira,Engraulis mordax,Icichthys lockingtoni,Leuroglossus stilbius,Merluccius productus,Sardinops sagax,Scomber japonicus,Tetragonurus cuvieri,Trachipterus altivelis,Trachurus symmetricus,Argentina sialis,Chromis punctipinnis,Hippoglossina stomata,Hypsoblennius spp.,Lyopsetta exilis,Microstomus pacificus,Ophidion scrippsae,Oxylebius pictus,Paralabrax spp.,Paralichthys californicus,Parophrys vetulus,Pleuronichthys verticalis,Scorpaenichthys marmoratus,Sebastes aurora,Sebastes jordani,Sebastes paucispinis,Sphyraena argentea,Symphurus atricaudus,Zaniolepis spp.
1951,32.56323472,33.74231545,32.62919655,33.13887067,32.75593006,32.51796242,32.60652132,32.12603291,32.89875446,32.32546498,34.1105632,33.01355685,NA,33.42,33.32175447,32.22994165,32.96,NA,NA,NA,NA,33.42,NA,33.2850756,33.35154737,33.32063321,33.42,NA,NA
1952,33.00044867,33.64644831,33.13145726,33.25555796,31.67220296,32.17603971,32.48066411,NA,33.1759009,31.9451302,32.93319743,33.19,NA,NA,33.79017868,33.97410072,NA,NA,33.19,NA,33.66,NA,33.76386152,33.65497885,33.67375975,33.59793551,NA,NA,34.45
1953,33.21730149,33.65474217,33.01069865,33.2759215,32.72566854,33.45965517,34.23,31.42,32.50549172,32.91184702,32.85,NA,33.75,33.82637224,33.87298387,34.51759398,NA,33.88,33.66,34.28,33.6962821,NA,33.88,33.63936342,33.67385534,33.61015769,NA,NA,33.98862069
1954,NA,33.70776959,33.3629109,33.06254549,32.43315655,33.00672306,33.58799881,34.18,32.48460317,31.90742896,34.57267593,33.00011951,NA,33.2773841,33.95941968,34.28,NA,NA,33.04588662,33.23668588,NA,34.99249584,33.56306479,33.57838835,34.02690528,33.67137961,NA,33.88,34.41586895
1955,32.30160711,33.36320066,33.35849489,33.03649177,32.51642696,32.2217145,33.74092074,32.26013825,33.43427597,32.82558319,33.46022279,NA,33.88,33.62477212,33.44608209,33.04969531,NA,NA,NA,32.97385466,32.99833333,32.85,34.81569301,34.11801431,33.61521287,33.50078054,NA,NA,NA
1956,32.35,33.67568185,33.3300662,33.13107752,32.67360833,NA,33.00462103,33.28263604,31.51,33.77939143,34.02703165,34.18,34.28,NA,34.36327751,33.12446886,NA,33.88,NA,33.3389656,33.21877517,34.05039428,33.88,34.10974424,33.595386,33.58244384,NA,NA,33.80715719
1957,32.09,33.39966687,32.21893928,33.05876449,32.44028598,32.57215191,33.25,32.09887588,31.76885553,31.95144724,33.82,34.002589,NA,34.18,33.30186768,33.2234986,34.13064935,32.33739326,34.24559603,33.98457615,33.93689285,34.23,33.85915254,33.2212566,33.72860073,33.50355482,NA,NA,NA
1958,33.428562,33.45679616,34.03340782,33.77785412,33.59081403,32.77045351,32.7654686,31.18,32.35214197,32.34504045,33.66,33.7936014,33.82,33.0817578,34.12114286,34.21986742,NA,33.94277817,32.96,33.61661631,33.72529075,NA,34.23316973,33.98327722,33.54027877,33.88025899,33.11374895,NA,33.66165571
1959,32.46466302,33.20253165,33.65060592,33.83548894,33.20900214,33.66352648,33.32362232,33.32311986,32.09,32.49878118,34.09937173,33.78945799,NA,34.023,33.73876834,33.58,NA,33.66,34.36620242,33.88604612,33.34489796,33.51364273,NA,33.22905109,33.63203236,33.73062726,33.81993239,34.31251643,34.18
1960,32.91,33.12109859,32.71493747,33.33064666,32.98811935,33.46400701,32.68,32.21552681,33.06473154,32.15184243,33.22216633,33.27694625,34.08853432,33.3798399,33.84341256,31.75,33.88,NA,NA,34.21019737,33.96107549,33.4466989,33.58,33.44155722,33.70503483,34.08135353,33.42,34.45,34.00892181
1961,32.52689669,33.26907423,33.21242291,33.19328282,33.09581736,33.11055485,33.34732438,32.26679377,32.91428503,32.91934889,32.94019551,NA,33.64243402,33.63891513,33.27367157,32.18,NA,33.44883817,33.49,33.68971084,33.78091432,34.23,34.45,33.75562928,33.64540841,33.58091678,33.49,34.18,32.09444444
1962,NA,32.77091657,32.82994451,33.31545229,33.00637207,33.25146512,33.29707182,31.56227151,32.42989019,31.62588884,33.91507236,33.43066828,33.81512476,33.85925345,33.71245391,NA,33.41905368,34.27128773,NA,33.33371296,33.40310589,33.61867343,33.88,33.87644748,33.6535352,33.77654513,33.42,34.21709807,34.32447695
1963,32.74753191,33.0747409,32.78677104,33.33484906,33.32220521,33.73079049,33.89195076,32.67916876,32.86462671,32.6803639,33.34098742,33.22836545,33.39978829,33.3715596,34.01552585,32.65,34.04628513,33.92560742,33.78328356,33.63081022,34.02921326,33.88019754,34.90538462,33.2263677,33.67287366,33.43195403,34.23,33.88876373,34.01335079
1964,34.16755173,33.04617821,32.949174,32.82882777,32.32434281,33.49,31.85,32.49699748,32.87065377,32.85574756,34.05402241,33.37661174,34.06415136,33.60476499,33.51364785,34.0132,34.0127972,34.28067454,33.67295652,33.91556291,33.98071628,33.67856731,34.23553318,33.49643088,33.80938873,33.81885905,33.49,34.06992126,33.86117871
1965,32.81582361,33.22727464,33.15276413,33.3323709,33.40695265,33.30537367,33.15381313,31.48495459,33.4673916,32.18856372,33.32543879,33.40123789,33.96006763,33.35794375,34.11495966,32.75655639,33.91865695,33.36417571,32.96781371,33.66993707,34.0139134,33.91072773,34.42420533,34.10664891,33.69133314,33.58429646,32.92396305,33.68947304,33.37473552
1966,31.71675334,33.47699246,33.3075177,33.7298778,33.77531801,33.86470103,33.86290323,32.67092861,32.94774247,32.61144457,33.97215649,33.20399884,33.78944934,33.32617887,33.71545274,33.86603633,33.89,34.45,33.40022145,33.85182495,34.392601,33.88956207,34.42401374,34.34622781,34.20653658,33.95501946,33.37742369,33.61786703,33.55825416
