Species,outE,out_rho,out_theta
Cololabis saira,NA,NA,NA
Engraulis mordax,2,0.509037015,0.75
Icichthys lockingtoni,9,-0.244714634,1.00E-04
Leuroglossus stilbius,3,0.468247567,2
Merluccius productus,5,0.698550688,0.75
Sardinops sagax,NA,NA,NA
Scomber japonicus,7,0.352255943,3
Tetragonurus cuvieri,9,-0.050564468,1.00E-04
Trachipterus altivelis,6,0.410584992,0
Trachurus symmetricus,7,0.12817442,6
Argentina sialis,8,-0.22815922,0
Chromis punctipinnis,NA,NA,NA
Hippoglossina stomata,NA,NA,NA
Hypsoblennius spp.,NA,NA,NA
Lyopsetta exilis,10,NA,NA
Microstomus pacificus,NA,NA,NA
Ophidion scrippsae,NA,NA,NA
Oxylebius pictus,NA,NA,NA
Paralabrax spp.,NA,NA,NA
Paralichthys californicus,10,-0.899860865,0.01
Parophrys vetulus,2,0.526669201,0.75
Pleuronichthys verticalis,NA,NA,NA
Scorpaenichthys marmoratus,NA,NA,NA
Sebastes aurora,10,0.405329688,0.03
Sebastes jordani,1,0.462078398,0.5
Sebastes paucispinis,1,0.431664016,8
Sphyraena argentea,NA,NA,NA
Symphurus atricaudus,NA,NA,NA
Zaniolepis spp.,NA,NA,NA
